num_threads,num_random_points,pi_approximation,time_elapsed
1,1000,3.088,0.000136
1,10000,3.1432,0.001404
1,100000,3.145,0.013326
1,1000000,3.13758,0.125861
1,10000000,3.14156,1.25506
1,100000000,3.14129,12.5372
2,1000,3.184,0.000194
2,10000,3.1364,0.00068
2,100000,3.15016,0.006432
2,1000000,3.13966,0.063952
2,10000000,3.14107,0.639585
2,100000000,3.1416,6.38741
4,1000,3.18,0.000151
4,10000,3.136,0.000428
4,100000,3.15228,0.003338
4,1000000,3.1435,0.03509
4,10000000,3.14126,0.335924
4,100000000,3.14162,3.36511
8,1000,3.156,0.000367
8,10000,3.1252,0.000818
8,100000,3.1454,0.005103
8,1000000,3.14279,0.035641
8,10000000,3.14074,0.340148
8,100000000,3.14155,3.37657
16,1000,3.16,0.000638
16,10000,3.1436,0.000982
16,100000,3.1462,0.004582
16,1000000,3.1427,0.040202
16,10000000,3.14141,0.350627
16,100000000,3.14139,3.38087
32,1000,3.152,0.001116
32,10000,3.1476,0.001675
32,100000,3.13476,0.005095
32,1000000,3.14269,0.036899
32,10000000,3.14146,0.364381
32,100000000,3.14144,3.35765
64,1000,3.06,0.002091
64,10000,3.1172,0.002656
64,100000,3.13868,0.006492
64,1000000,3.14224,0.041183
64,10000000,3.14226,0.343923
64,100000000,3.1416,3.37511
128,1000,3.092,0.00412
128,10000,3.1168,0.004232
128,100000,3.14116,0.008618
128,1000000,3.14101,0.046509
128,10000000,3.14201,0.346923
128,100000000,3.14155,3.36929
256,1000,3.104,0.007348
256,10000,3.1244,0.007613
256,100000,3.13292,0.010501
256,1000000,3.14081,0.044812
256,10000000,3.14207,0.342045
256,100000000,3.14158,3.51653
512,1000,3.172,0.015043
512,10000,3.1452,0.015602
512,100000,3.13924,0.018209
512,1000000,3.14168,0.051236
512,10000000,3.14203,0.506625
512,100000000,3.14185,3.54511
